# file...... Output/Aggregator_1_line.csv
# date...... Mon Oct 30 23:38:49 2017
# user...... yingying
# host...... (null)
# target.... overhead_line 75
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,power_out_real, power_out
2010-08-16 00:00:00 UTC,+116158.238372,+116158+29840.6j
2010-08-16 00:00:30 UTC,+143828.687553,+143829+40685j
2010-08-16 00:01:00 UTC,+173239.913556,+173240+52183.4j
2010-08-16 00:01:30 UTC,+180162.50891,+180163+55006.5j
2010-08-16 00:02:00 UTC,+194413.125583,+194413+60770.1j
2010-08-16 00:02:30 UTC,+208582.005584,+208582+66396.1j
2010-08-16 00:03:00 UTC,+212074.694872,+212075+67768.1j
2010-08-16 00:03:30 UTC,+226136.77161,+226137+73351.5j
2010-08-16 00:04:00 UTC,+213543.702229,+213544+68566.7j
2010-08-16 00:04:30 UTC,+213271.760847,+213272+68542j
2010-08-16 00:05:00 UTC,+205352.791494,+205353+65465.8j
2010-08-16 00:05:30 UTC,+181403.062388,+181403+56170.3j
2010-08-16 00:06:00 UTC,+181482.59724,+181483+56240.9j
2010-08-16 00:06:30 UTC,+172270.148457,+172270+52757.8j
2010-08-16 00:07:00 UTC,+164237.645371,+164238+49607.2j
2010-08-16 00:07:30 UTC,+150577.316952,+150577+44287.3j
